"Rank","player","Hall_Rating","Avg_BPM","Position","Minutes","Games","Seasons","Teams","player_id"
3066.5,"Keith Booth",0,-5.40693720567241,"SF",449,45,2,1,"boothke01"
3066.5,"Keith Closs",0,-2.97505684870939,"C",1647,130,3,1,"closske01"
3066.5,"Keith Herron",0,-5.11115891134837,"SG",2620,124,3,3,"herroke01"
3066.5,"Keith Langford",0,-15.4380095045137,"SG",10,2,1,1,"langfke01"
3066.5,"Keith Lee",0,-2.09657977272531,"PF",2907,182,3,2,"leeke01"
3066.5,"Keith McCord",0,-9.20509575010416,"SG",9,2,1,1,"mccorke01"
3066.5,"Keith McLeod",0,-4.02908016815626,"PG",3723,200,4,4,"mcleoke01"
3066.5,"Keith Owens",0,-4.48225188986525,"SF",80,20,1,1,"owenske01"
3066.5,"Keith Smart",0,-13.4690351537663,"PG",12,2,1,1,"smartke01"
3066.5,"Keith Smith",0,-4.85884086069232,"SG",461,42,1,1,"smithke03"
3066.5,"Keith Starr",0,-9.70128844006434,"SG",65,17,1,1,"starrke01"
3066.5,"Keith Swagerty",0,-4.70692025937668,"PF",2477,80,2,2,"swageke01"
3066.5,"Keith Tower",0,-10.0525394019042,"C",416,53,4,3,"towerke01"
3066.5,"Kelly McCarty",0,-20.0146295750666,"SG",4,2,1,1,"mccarke01"
3066.5,"Kelly Oubre",0,-5.56009959746365,"SF",60,6,1,1,"oubreke01"
3066.5,"Kelvin Ransey",0,-2.7261308330583,"PG",11892,488,6,3,"ranseke01"
3066.5,"Kelvin Upshaw",0,-5.38833115335164,"SG",1542,123,3,4,"upshake01"
3066.5,"Ken Austin",0,-6.81138943396081,"SF",28,7,1,1,"austike01"
3066.5,"Ken Bannister",0,-4.22490145703021,"PF",3867,253,5,2,"bannike01"
3066.5,"Ken Durrett",0,-4.81135777566186,"SF",1205,120,4,3,"durreke01"
3066.5,"Ken Johnson",0,-2.91868080291232,"PF",826,66,1,1,"johnske01"
3066.5,"Ken Johnson",0,-7.38668856829073,"C",156,16,1,1,"johnske03"
3066.5,"Ken Mayfield",0,-11.410791165301,"SG",64,13,1,1,"mayfike01"
3066.5,"Ken McBride",0,-8.40635309044267,"SG",249,12,1,1,"mcbrike01"
3066.5,"Ken Rohloff",0,-10.4886685761924,"G",7,2,1,1,"rohloke01"
3066.5,"Ken Smith",0,-4.89553082541587,"SF",164,19,1,1,"smithke02"
3066.5,"Ken Spain",0,-4.68476796697509,"C",112,11,1,1,"spainke01"
3066.5,"Kendall Marshall",0,-4.2170537494318,"PG",2683,130,3,3,"marshke01"
3066.5,"Kendall Rhine",0,-6.08232200345423,"C",2730,130,2,2,"rhineke01"
3066.5,"Kenneth Gardner",0,-2.39616019380154,"SF",51,9,1,1,"gardnke01"
3066.5,"Kenny Green",0,-7.63501025259562,"SF",625,60,2,2,"greenke02"
3066.5,"Kenny Higgs",0,-3.27182415337684,"PG",4489,219,3,2,"higgske01"
3066.5,"Kenny Natt",0,-7.71503162697276,"SG",388,49,3,3,"nattke01"
3066.5,"Kenny Payne",0,-5.99657792767497,"SF",1177,147,4,1,"payneke01"
3066.5,"Kenny Satterfield",0,-7.52637778493237,"PG",1062,75,2,2,"satteke01"
3066.5,"Kenton Edelin",0,-2.46198770262065,"SF",143,10,1,1,"edelike01"
3066.5,"Kevin Brooks",0,-11.8614240251504,"SF",1036,128,3,1,"brookke01"
3066.5,"Kevin Burleson",0,-5.20125734033851,"PG",340,39,1,1,"burleke01"
3066.5,"Kevin Duckworth",0,-4.07671703417847,"C",19418,751,11,5,"duckwke01"
3066.5,"Kevin Henderson",0,-6.71792400700518,"SG",235,22,2,2,"hendeke01"
3066.5,"Kevin Jones",0,-4.23351062663658,"PF",334,32,1,1,"joneske01"
3066.5,"Kevin Joyce",0,-5.8979455498739,"SG",5577,217,3,3,"joyceke01"
3066.5,"Kevin Loder",0,-3.39585328454016,"SF",2094,148,3,2,"loderke01"
3066.5,"Kevin Lynch",0,-5.13669322357581,"SG",1146,96,2,1,"lynchke01"
3066.5,"Kevin McKenna",0,-3.04726332024616,"SG",3462,244,6,4,"mckenke01"
3066.5,"Kevin Murphy",0,-17.1678075167208,"SG",52,17,1,1,"murphke01"
3066.5,"Kevin O'Shea",0,-2.80920721030691,"G",2368,111,2,2,"osheake01"
3066.5,"Kevin Salvadori",0,-6.69145548077196,"C",241,39,2,1,"salvake01"
