"Rank","player","Hall_Rating","Avg_BPM","Position","Minutes","Games","Seasons","Teams","player_id"
1681,"John Fairchild",0.0703124618890203,-4.42294490643283,"SF",2362,174,4,5,"faircjo01"
1682,"John Garris",0.0702025864411125,1.03489655517685,"PF",267,33,1,1,"garrijo01"
1683,"Adrian Branch",0.0699775226870273,-5.2512775454865,"SF",1476,142,4,4,"brancad01"
1684,"Darius Songaila",0.0692586159032752,-1.93336571475669,"PF",9556,516,8,5,"songada01"
1685,"Delaney Rudd",0.069178272488302,-3.9241482247156,"PG",2544,263,4,2,"ruddde01"
1686,"Walter Piatkowski",0.0690341490994704,-6.16689263761604,"PF",3400,170,3,2,"piatkwa01"
1687,"Ben Coleman",0.0689263251112506,-2.51306861497539,"PF",3635,230,5,4,"colembe01"
1688,"William Smith",0.0684295272260819,-0.342918656262914,"C",491,30,2,1,"smithwi01"
1689,"Pepe Sanchez",0.068014549113523,-4.32213016281822,"PG",187,38,2,3,"sanchpe01"
1690,"Mike Penberthy",0.0677535294218378,5.35929828651701,"PG",863,56,2,1,"penbemi01"
1691,"Dominic McGuire",0.0675267430344333,-3.74314995205361,"SF",5363,345,6,7,"mcguido01"
1692,"Garrett Temple",0.0670345997159698,-3.37715739899724,"SG",3266,257,6,6,"templga01"
1693,"Audie Norris",0.0662080769346663,-1.40147411272801,"C",2799,207,3,1,"norriau01"
1694,"Lorenzo Charles",0.0661668582201039,1.39086857191306,"SF",288,40,1,1,"charllo01"
1695,"Randy Livingston",0.0658523748321181,-4.4926518949602,"PG",2866,220,11,9,"livinra01"
1696,"Jarnell Stokes",0.065813385571289,-0.271113544212798,"C",130,21,2,1,"stokeja01"
1697,"Kentavious Caldwell-Pope",0.0655865415150221,-1.11218712550726,"SG",4659,175,3,1,"caldwke01"
1698,"John Smith",0.0652180450268555,-6.98318189445234,"C",3503,156,2,3,"smithjo01"
1699,"O.J. Mayo",0.0649566090686701,-1.58922115969421,"SG",16547,534,8,3,"mayooj01"
1700,"Joe Roberts",0.0648678259932128,-4.22208933177153,"SF",3619,232,4,2,"roberjo01"
1701,"James Anderson",0.0646434001008871,-2.96517302320434,"SG",3747,215,5,4,"anderja01"
1702,"Kyrylo Fesenko",0.0642905220376211,-1.96747565599811,"C",1288,145,5,2,"fesenky01"
1703,"C.J. McCollum",0.0642750337770544,-4.90444708827992,"SG",2161,126,3,1,"mccolcj01"
1704,"Al Butler",0.0642141932717822,-1.90244004133504,"PG",5055,234,4,3,"butleal01"
1705,"Clay Johnson",0.0641552129389538,-0.291861309472799,"SG",755,97,3,2,"johnscl02"
1706,"Henry Dickerson",0.0640488333271364,-3.33143812045332,"SG",190,28,2,2,"dickehe01"
1707,"Anthony Roberts",0.063810756735581,-3.70984718685379,"SF",4347,229,5,2,"roberan01"
1708,"Bevo Nordmann",0.0634227257443166,-3.01785664553181,"C",1633,135,4,4,"nordmbe01"
1709,"Gary Hill",0.0630852986236473,-4.69177575145959,"SG",1187,88,2,2,"hillga01"
1710,"Owen Wells",0.0629014865635713,3.79335494572989,"SF",219,37,1,1,"wellsow01"
1711,"Boo Ellis",0.0627744842119279,-2.64969648879676,"PF",2164,134,2,1,"ellisbo01"
1712,"J.J. Anderson",0.062754255903665,-2.32173874843743,"SF",1983,162,3,2,"anderjj01"
1713,"John McCullough",0.0625489429427549,6.35201390049312,"SG",23,8,1,1,"mcculjo01"
1714,"Antonio Burks",0.0622109700538689,-2.90520565060799,"PG",805,84,2,1,"burksan01"
1715,"John Coker",0.0616650681361505,-2.13117184282998,"C",141,25,3,3,"cokerjo01"
1716,"Larry Demic",0.0616476553777092,-2.67560813862228,"PF",3229,208,3,1,"demicla01"
1717,"Derrick Brown",0.0613527513050846,7.56129318493027,"SF",2555,173,3,2,"brownde04"
1718,"Bruce Flowers",0.0610450787091187,0.34373881230199,"PF",699,53,1,1,"flowebr01"
1719,"Phil Hankinson",0.060768937083908,0.344856548843661,"SF",195,35,2,1,"hankiph01"
1720,"Bert Cook",0.0607163681877117,-1.17656904409084,"SG",444,38,1,1,"cookbe01"
1721,"Dave Newmark",0.060503780880858,-1.44646491462625,"C",2270,182,3,3,"newmada01"
1722,"Billy McKinney",0.0601262415882144,-2.11807045452376,"PG",9523,495,7,5,"mckinbi01"
1723,"Will Bynum",0.0597789868346638,-3.10903557435165,"PG",6720,367,8,3,"bynumwi01"
1724,"Don Bielke",0.0596171307490417,4.08753982405563,"C",38,7,1,1,"bielkdo01"
1725,"Jerry Harkness",0.0595075773543601,-3.68384644718712,"PG",1604,89,3,2,"harknje01"
1726,"Elton McGriff",0.0592295821319218,-1.77739318007804,"C",1131,69,2,3,"mcgriel01"
1727,"Eddie Phillips",0.059185851512962,0.199679729312372,"SF",428,50,1,1,"philled01"
1728,"Loren Woods",0.0591252143292495,2.1503032853122,"C",2433,219,6,4,"woodslo01"
1729,"Willie Cauley-Stein",0.059050831964509,0.854500274309954,"C",272,14,1,1,"caulewi01"
1730,"Joe Crispin",0.0590176331949896,-3.67685560899835,"PG",156,21,1,2,"crispjo01"
1731,"Fred LaCour",0.0590018759137893,-2.54300338850509,"SF",2447,149,3,2,"lacoufr01"
1732,"Tom Payne",0.0590018245397905,3.85200133107071,"C",232,30,1,1,"payneto01"
1733,"John Brown",0.058466178865885,-5.46260357692753,"SF",10172,493,7,3,"brownjo01"
1734,"Andre Turner",0.0583564349487854,-8.55904659810938,"PG",2712,178,6,7,"turnean01"
1735,"Chris Johnson",0.0582600516591569,-1.98887580777765,"SF",1460,86,4,5,"johnsch04"
1736,"Dick Surhoff",0.058073114689505,-2.46411424452742,"SF",558,62,2,2,"surhodi01"
1737,"Maury King",0.0580392306911848,1.05267576503743,"PG",973,38,2,2,"kingma01"
1738,"Mario West",0.057927205900476,-3.59267746943411,"SG",868,186,4,2,"westma02"
1739,"Dick Knostman",0.0578656704493745,3.42297105200785,"C",47,5,1,1,"knostdi01"
1740,"Seth Curry",0.0577897389009992,-3.62037348331946,"PG",57,10,3,4,"curryse01"
1741,"Curtis Kitchen",0.0577258981185978,-0.402507510174543,"PF",54,14,1,1,"kitchcu01"
1742,"Steven Hunter",0.0573711829966788,-4.3263399040503,"C",6251,424,8,5,"huntest01"
1743,"Carlos Terry",0.057223163041687,-2.37846362115215,"SG",1083,97,3,1,"terryca01"
1744,"Jim Bradley",0.0570953213776512,-3.57254032328743,"PF",2095,110,3,2,"bradlji01"
1745,"Etan Thomas",0.0570899466361935,-2.58496749920603,"C",7336,427,9,3,"thomaet01"
1746,"Kirk Haston",0.0565651506760761,-4.64030111072901,"PF",138,29,2,2,"hastoki01"
1747,"Glenn Robinson III",0.0565484640433468,-3.03391983898508,"PF",405,44,2,3,"robingl02"
1748,"Chad Gallagher",0.0560232037494042,37.7512216596092,"C",3,2,1,1,"gallach01"
1749,"Tyson Wheeler",0.0560057922705636,37.7397997294897,"PG",3,1,1,1,"wheelty01"
1750,"Barry Parkhill",0.0554339054947059,-3.73338010079834,"SG",3125,176,3,2,"parkhba01"
1751,"John Amaechi",0.0551569767416641,-8.79142092157674,"C",4858,301,5,3,"amaecjo01"
1752,"Kelenna Azubuike",0.0549420407622026,-3.27521626119005,"SG",5045,215,5,2,"azubuke01"
1753,"Mike Dabich",0.0549395378428397,2.89131603436963,"C",49,10,1,2,"dabicmi01"
1754,"Steve Alford",0.0547184585490829,-2.09650343998445,"PG",1747,182,4,2,"alforst01"
1755,"Lucas Nogueira",0.0545699371702833,6.70676526311143,"C",28,8,2,1,"noguelu01"
1756,"Sean Rooks",0.0543164619453509,-2.48942584586885,"C",13813,778,12,7,"rooksse01"
1757,"Rudy Macklin",0.0543062579562175,-1.40099251949084,"SF",2860,165,3,2,"macklru01"
1758,"Matt Carroll",0.0541490208907528,-4.89188925346914,"SG",7609,464,10,4,"carroma01"
1759,"Glenn Mosley",0.0541341124058685,-2.93036843999333,"PF",248,35,2,2,"moslegl01"
1760,"Tarik Black",0.0541171682579492,-2.12335779986373,"C",1275,70,2,2,"blackta01"
1761,"Matt Fish",0.0538290111888538,-5.94250363721951,"C",512,50,3,5,"fishma01"
1762,"Paul Graham",0.0536199570533612,-2.76898476060188,"SG",3383,182,3,1,"grahapa01"
1763,"John Jenkins",0.0532069215203628,-4.25790664668654,"SG",1457,110,4,2,"jenkijo01"
1764,"Desmond Mason",0.0530739615796772,-2.70346090096262,"SF",20248,659,10,5,"masonde01"
1765,"Daequan Cook",0.0529942341843642,-4.46698115153046,"SG",6494,374,6,4,"cookda02"
1766,"Carlos Arroyo",0.0525447768018597,-2.47993426308834,"PG",11013,603,9,7,"arroyca01"
1767,"Frank Kaminsky",0.0525437089766766,1.30893695273544,"C",158,12,1,1,"kaminfr01"
1768,"Gary Turner",0.0518568026117094,5.85972321618305,"F",21,2,1,1,"turnega01"
1769,"Don Adams",0.0517485535589235,-3.73004258485645,"SF",14341,555,7,6,"adamsdo01"
1770,"Austin Daye",0.0517464292928944,-4.94021234103802,"SF",4158,298,6,5,"dayeau01"
1771,"John Barnhill",0.0517336707369212,-3.29872107403307,"PG",14663,624,10,6,"barnhjo01"
1772,"Gene Wiley",0.0502393509500482,-3.63710084535415,"C",7181,336,5,3,"wileyge01"
1773,"Felton Spencer",0.0501414016942124,-1.65142553683106,"C",13070,676,12,6,"spencfe01"
1774,"Randy Foye",0.0499841336462671,-2.04007119556902,"SG",16892,627,10,5,"foyera01"
1775,"Danny Doyle",0.0493524180705408,4.88502235051297,"PF",25,4,1,1,"doyleda01"
1776,"Charles Smith",0.0489341333009515,-3.47767691067007,"PG",597,76,3,2,"smithch02"
1777,"Marko Milic",0.0488377414845636,0.750677942409785,"SF",220,46,2,1,"milicma01"
1778,"Tim Kempton",0.0488376282755164,-5.0485744857667,"PF",3879,286,8,9,"kemptti01"
1779,"Jim McIlvaine",0.0482354096417271,-1.67065091800802,"C",6014,412,7,3,"mcilvji01"
1780,"Josh Davis",0.0480386178683431,-5.28838476149129,"PF",502,68,4,5,"davisjo02"
1781,"Shelton Jones",0.0479087207801952,-0.595940037764373,"SF",682,51,1,3,"jonessh01"
1782,"Julyan Stone",0.0476197184674134,1.18194611469938,"SG",345,51,3,2,"stoneju01"
1783,"Henry Ward",0.0475858318222718,5.95633290348331,"SG",878,94,2,2,"wardhe01"
1784,"Kenny Fields",0.0472047858912634,-2.27053833634605,"SF",2850,196,4,2,"fieldke01"
1785,"Nando De Colo",0.0470414699130107,-0.540350711214845,"SF",1432,125,2,2,"decolna01"
1786,"Olumide Oyedeji",0.0469061958095946,-1.05280315304066,"C",604,96,3,2,"oyedeol01"
1787,"Richard Fisher",0.0466682128806963,5.26161132134005,"F",66,12,1,2,"fisheri01"
1788,"Tracy Moore",0.0465333918452316,-0.276638808729409,"SG",1729,119,5,3,"mooretr01"
1789,"Chris Wright",0.045764679904168,0.392794759723492,"SF",312,32,2,2,"wrighch01"
1790,"Kenny Walker",0.0457184306619977,-1.77282559466822,"SF",9405,474,7,2,"walkeke01"
1791,"Russ Smith",0.0456989010448774,-10.0291240892636,"PG",101,21,2,2,"smithru01"
1792,"Al Sanders",0.0454127319218836,4.57489025689067,"PF",25,4,1,1,"sandeal01"
1793,"Pops Mensah-Bonsu",0.0453991284591282,-2.91217675893199,"PF",509,61,4,5,"mensapo01"
1794,"Cory Alexander",0.0452513404905343,-3.36756208756336,"PG",4917,316,7,4,"alexaco01"
1795.5,"Al Cueto",0.0452415218358513,-1.2974268447102,"C",2290,153,2,2,"cuetoal01"
1795.5,"John Trapp",0.0452415218358513,-3.41600961273631,"SF",5359,318,5,4,"trappjo01"
1797,"Byron Irvin",0.0448626294096688,-3.5279915948629,"SG",896,91,3,2,"irvinby01"
1798,"Jim Ware",0.0448073831300024,-6.23136007337028,"PF",457,67,3,3,"wareji01"
1799,"Korleone Young",0.0446665997634026,6.86025788895842,"SF",15,3,1,1,"youngko01"
1800,"Gerald Brown",0.0440259886365605,16.4455229484193,"SG",237,34,1,1,"brownge02"
1801,"Derrick Chievous",0.0436080739054654,-3.28468985711259,"SF",2308,161,3,2,"chievde01"
1802,"Dan O'Sullivan",0.043593783848507,-0.404851697468885,"C",297,45,4,5,"osullda01"
1803,"Rodney Hood",0.0432176687698629,-0.105317135119512,"SG",1397,61,2,1,"hoodro01"
1804,"Roshown McLeod",0.043041812397676,-3.99947302224903,"SF",2179,119,3,2,"mcleoro01"
1805,"Tyus Edney",0.0429497276486357,-2.62836507353011,"PG",4874,232,4,3,"edneyty01"
1806,"Mike Scott",0.0427478957714954,-1.49689878577703,"PF",3461,223,4,1,"scottmi01"
1807,"Jason Smith",0.0424515078102105,-2.08845048296906,"C",7552,433,8,5,"smithja02"
1808,"Jerry Sichting",0.0424197560589719,-1.51762415845627,"PG",13387,645,10,5,"sichtje01"
1809,"Greg Wittman",0.0424108012750651,-4.83576565206994,"PF",527,62,2,3,"wittmgr01"
1810,"Chris Engler",0.0423446322705198,-5.81371638360071,"C",1411,196,5,5,"englech01"
1811,"Howard Wright",0.0422618365222511,-0.931875006220762,"PF",174,19,2,3,"wrighho02"
1812,"Dennis Schroder",0.0422286476449702,-1.63352243292383,"PG",2819,159,3,1,"schrode01"
1813,"Zendon Hamilton",0.0421474802515472,-5.77093764078707,"C",1560,134,6,6,"hamilze01"
1814,"Cozell McQueen",0.0419612415986675,12.7971033523111,"PF",7,3,1,1,"mcqueco01"
1815,"Cleanthony Early",0.0418774652864652,-0.0141749421075659,"SF",665,44,2,1,"earlycl01"
1816,"Isaac Austin",0.0415101211138315,-2.48045187207039,"C",8752,452,9,8,"austiis01"
1817,"Bob Miller",0.0411887856954709,11.1324412810858,"PF",8,2,1,1,"millebo01"
1818,"Patrick Ewing",0.0409451517946015,5.32628425000236,"SF",21,9,1,1,"ewingpa02"
1819,"Christian Eyenga",0.0408516247663022,-2.07356269136887,"SF",1058,54,2,2,"eyengch01"
1820,"Damien Wilkins",0.0408495437233912,-1.59824510211072,"SF",11014,578,9,6,"wilkida02"
1821,"Jimmy Collins",0.040747545667872,-0.987294751087903,"SG",620,76,2,1,"colliji01"
1822,"Lester Hudson",0.0407220516908911,-4.79284885591055,"PG",632,64,4,5,"hudsole01"
1823,"Tom Scheffler",0.0405339747592072,0.435173156716242,"C",278,42,1,1,"schefto01"
1824,"Norm Cook",0.0404957703390755,0.975378808079865,"SF",151,28,2,2,"cookno01"
1825,"Milt Williams",0.0402963773774081,0.401849481681655,"PG",740,72,4,4,"willimi01"
1826,"Bruce Seals",0.0400372250634316,-2.64830576176829,"SF",8037,381,5,2,"sealsbr01"
1827,"Connie Norman",0.0398615893351875,6.3584051669949,"SG",1214,100,3,2,"normaco01"
1828,"Oleksiy Pecherov",0.0394671155181212,-2.43082375259839,"C",1052,114,3,2,"pecheol01"
1829,"Bob Williams",0.0394528661720392,-1.76066536996485,"F",193,24,2,1,"willibo01"
1830,"Ron Grandison",0.0392610825759885,-2.91154903453187,"PF",875,107,4,5,"grandro01"
1831,"Rich Peek",0.0391142919794766,-0.711370903657392,"C",896,59,1,1,"peekri01"
1832,"Jonathon Simmons",0.0388438413571995,7.37038998258072,"SG",12,2,1,1,"simmojo02"
1833,"Travis Diener",0.0388402153375825,-2.83024921315319,"PG",2667,181,5,3,"dienetr01"
1834,"Ish Smith",0.0383510274523737,-3.64628895003592,"PG",3461,270,6,9,"smithis01"
1835,"Hilton Armstrong",0.0381071840448009,-3.712807275923,"C",3555,319,6,7,"armsthi01"
1836,"Brian Evans",0.0378659879322309,-2.03983940046341,"SF",1108,107,3,3,"evansbr01"
1837,"Dewayne Dedmon",0.0378592009291866,-4.09286881836058,"C",1439,102,3,3,"dedmode01"
1838,"Luke Schenscher",0.0378013214748467,-1.42675018626485,"C",284,34,2,2,"schenlu01"
1839,"Stephen Graham",0.0376276047992989,-8.42569386058813,"SG",2920,241,6,7,"grahast01"
1840,"Glenn Hagan",0.0376045069770401,3.9602267892326,"PG",25,4,1,1,"hagangl01"
1841,"Cedric Lewis",0.0375751448347333,19.4869712586888,"C",4,3,1,1,"lewisce01"
1842,"Henry Bibby",0.0375554082025531,-1.8451196200212,"PG",17218,747,9,4,"bibbyhe01"
1843,"Blake Ahearn",0.0373068060784452,-4.24776043102388,"PG",234,22,3,3,"ahearbl01"
1844,"Levi Fontaine",0.037217803834175,-1.84113781613862,"SG",219,37,1,1,"fontale01"
1845,"Josh Harrellson",0.0371739994456187,-3.44949896901591,"C",913,79,3,3,"harrejo01"
1846,"Bob Nash",0.037062597948854,-6.35560158551206,"SF",2796,241,5,3,"nashbo01"
1847,"Bob Arnzen",0.0370153508586847,-1.60703333884697,"SF",965,118,4,3,"arnzebo01"
1848,"Fred Scolari",0.0369770383780618,-4.5014470851879,"PG",6930,266,4,3,"scolafr01"
1849,"Willie Burton",0.0367180447096134,-5.12354067756778,"SF",6677,318,8,5,"burtowi01"
1850,"Anthony Brown",0.036713435682898,9.02800460266035,"SF",9,3,1,1,"brownan02"
1851,"Lowes Moore",0.0364499554414728,-1.75459323857818,"PG",2118,112,3,3,"moorelo01"
1852,"Carl Henry",0.0353138050160436,6.46523920352739,"SG",151,29,1,1,"henryca01"
1853,"Dennis Nutt",0.0349890753139339,-6.54245316586681,"PG",101,26,1,1,"nuttde01"
1854,"Eddie Griffin",0.0349790485542599,-2.56337853301428,"PF",6729,303,5,2,"griffed01"
1855,"Byron Houston",0.0349574857390046,-8.83432211106519,"PF",2721,218,4,3,"houstby01"
1856,"Steve Hayes",0.0348946821280568,2.90337388036558,"C",2297,213,5,6,"hayesst01"
1857,"Henry Sims",0.034687087614035,-2.72020059136013,"C",2279,121,3,3,"simshe01"
1858,"Jerry Grote",0.0346857898009238,3.06853437358237,"G",33,11,1,1,"groteje01"
1859,"Roger Burkman",0.0345698050283625,3.26777920986058,"SG",30,6,1,1,"burkmro01"
1860,"Milt Wagner",0.0344762697666876,-2.15587736378513,"SG",510,58,2,2,"wagnemi01"
1861,"Stanley Jackson",0.0342931365385397,1.46714984147491,"SG",92,17,1,1,"jacksst01"
1862,"Duane Washington",0.0342689658021929,-5.76359222331064,"SG",184,19,2,2,"washidu01"
1863,"Greg Dreiling",0.0340328973739884,-4.16812058034087,"C",4330,483,10,3,"dreilgr01"
1864,"Cherokee Parks",0.0338578576312751,-3.13775687614076,"C",7514,479,9,7,"parksch02"
1865,"Ognjen Kuzmic",0.0337620368997222,-2.48309570299788,"C",172,40,2,1,"kuzmiog01"
1866,"Tom Riker",0.0332010071086812,-1.7338129033221,"C",613,83,3,1,"rikerto01"
1867,"Tony Mitchell",0.033169807256881,1.65261216915296,"PF",79,21,1,1,"mitchto02"
1868,"A.J. Price",0.0328678648606058,-2.74523137428441,"PG",4016,270,6,5,"priceaj01"
1869,"Brian Rowsom",0.0325982542444371,-2.97695532044166,"PF",1092,82,3,2,"rowsobr01"
1870,"Skip Harlicka",0.0325381407936148,-1.02150299727969,"PG",219,27,1,1,"harlisk01"
1871,"Everette Stephens",0.0317004046362706,1.56183130992258,"PG",215,38,2,2,"stephev01"
1872,"Vernon Macklin",0.0316967067016767,0.924135093168885,"C",135,23,1,1,"macklve01"
1873,"Tom Hagan",0.0311882893788058,-5.03920464540057,"G",916,73,2,3,"haganto01"
1874,"Mark Davis",0.0310424160934439,-5.69268311781746,"SF",258,33,1,2,"davisma01"
1875,"Darrick Martin",0.0308238437789661,-5.80450684334915,"PG",9462,539,13,6,"martida01"
1876,"Cartier Martin",0.0305940551345177,-2.28306213543439,"SF",3366,246,7,6,"martica01"
1877,"Anthony Miller",0.0305796819690375,-4.80657499340047,"PF",1685,189,8,4,"millean01"
1878,"Anthony Bowie",0.0305129027937988,-3.25939312837489,"SG",8659,501,8,4,"bowiean01"
1879,"Mike Harper",0.0300542344353441,-0.122313507839361,"PF",1900,124,2,1,"harpemi01"
1880,"Conner Henry",0.0299943727407817,-6.28069634640653,"SG",791,104,2,4,"henryco01"
1881,"Roger Phegley",0.0299785662785161,-5.60523325887001,"SG",5852,359,6,5,"pheglro01"
1882,"Primoz Brezec",0.0299322898424481,-3.64579681770832,"C",6217,346,8,6,"brezepr01"
1883,"Howie Jolliff",0.0296832537015121,-2.85290969433777,"PF",1851,151,3,1,"jolifho01"
1884,"Reggie Slater",0.0296595220661655,-3.89120538883024,"PF",3565,263,8,7,"slatere01"
1885,"Chuck Nevitt",0.0296213589027445,-7.95399291366697,"C",881,171,9,5,"nevitch01"
1886,"Antonio Harvey",0.0295767830734273,-4.68070678855358,"PF",1972,192,8,6,"harvean01"
1887,"Ian Lockhart",0.0293401432721941,29.870700979839,"SF",2,1,1,1,"lockhia01"
1888,"Jarron Collins",0.0292901733206199,-2.51782492604818,"C",8869,578,10,4,"collija03"
1889,"Bill Stricker",0.0288920348897131,29.4297623314777,"F",2,1,1,1,"stricbi01"
1890,"Bruno Sundov",0.0287210608046033,-6.92340081792652,"C",526,103,7,5,"sundobr01"
1891,"Charles Smith",0.0285741108042046,-7.42019752789266,"SG",1992,146,5,5,"smithch04"
1892,"Bernard Robinson",0.0285242351750139,-2.88770457082401,"SF",1915,129,3,2,"robinbe01"
1893,"DeAndre Liggins",0.028499457716003,12.2244288925677,"SG",474,65,3,3,"liggide01"
1894,"Sim Bhullar",0.0283153319523354,19.574857760732,"C",3,3,1,1,"bhullsi01"
1895,"Gerry Calabrese",0.0281741571613142,-1.04365528968128,"SG",990,64,1,1,"calabge01"
1896,"Ira Bowman",0.0281393928884964,-5.65568973529635,"SG",79,24,3,2,"bowmair01"
1897,"Jumaine Jones",0.0278661389157011,-3.17697492693157,"SF",10263,500,8,6,"jonesju01"
1898,"Devin Booker",0.0278608087856826,1.10767821596411,"SG",99,10,1,1,"bookede01"
1899,"Xavier Silas",0.02775849148563,-1.33287269131561,"SG",43,4,1,1,"silasxa01"
1900,"Len Elmore",0.0276558179083386,-2.05335319151033,"C",13168,690,10,6,"elmorle01"
1901,"Sedric Toney",0.0276544922332855,-8.37699433776439,"PG",1425,115,5,6,"toneyse01"
1902,"Ben Handlogten",0.0274955782714853,-1.1774694275211,"C",469,38,2,1,"handlbe01"
1903,"Joey Graham",0.0273736592282056,-8.50889734885378,"SF",6257,389,6,3,"grahajo01"
1904,"Ken Green",0.0271397161903448,1.48363781840552,"PF",72,7,1,1,"greenke01"
1905,"Ken Charles",0.0268958227722143,-1.90449586544221,"SG",8093,340,5,2,"charlke01"
1906,"Tony Mitchell",0.0267706848460259,6.2684707776979,"SF",10,3,1,1,"mitchto03"
1907,"Tom Kropp",0.0267412674100073,-5.9131816044692,"SG",556,80,2,2,"kroppto01"
1908,"Dave Scholz",0.0267378382286672,53.620065634017,"F",1,1,1,1,"scholda01"
1909,"Cedric Jackson",0.0267339973870675,-9.54750186317507,"PG",74,12,1,3,"jacksce01"
1910,"Brandon Hunter",0.0267120376683096,-1.59892321181699,"PF",640,70,2,2,"huntebr01"
1911,"Tom Thacker",0.0259085312029962,-5.61787756116648,"PG",4436,375,7,3,"thackto01"
1912,"David Vaughn",0.0251786565077223,0.419579852943995,"PF",1157,119,4,4,"vaughda02"
1913,"Irv Bemoras",0.0249452000097426,-2.2130549306427,"SF",2499,134,2,2,"bemorir01"
1914,"Willie Jones",0.024657576694372,-3.17784761419273,"PG",4855,288,5,1,"joneswi01"
1915,"Charles Shackleford",0.0244090166116318,-1.82082995974579,"C",4614,303,6,4,"shackch01"
1916,"James Augustine",0.024373763752236,3.45367719432788,"PF",158,28,2,1,"augusja01"
1917,"Ron Widby",0.02423909330369,-1.95189927814659,"F",168,26,1,1,"widbyro01"
1918,"Walter Herrmann",0.0241401538143556,-1.57001619033386,"PF",1988,160,3,2,"herrmwa01"
1919,"Hakim Warrick",0.0237508265446762,-3.21415333046664,"PF",10698,532,8,6,"warriha01"
1920,"Jacque Vaughn",0.023699764269063,-4.40705457442853,"PG",13422,851,12,5,"vaughja01"
1921,"James Michael McAdoo",0.0236189869686048,-1.00754531290497,"PF",207,32,2,1,"mcadoja01"
1922,"Pooh Richardson",0.023374569858174,-2.56331935590672,"PG",19512,645,10,3,"richapo01"
1923,"Kornel David",0.0231408233928302,-1.59209491646229,"SF",1585,109,3,4,"davidko01"
1924,"Rick Carlisle",0.0226942719845609,-6.83455693815982,"SG",1523,200,5,3,"carliri01"
1925,"Rowland Garrett",0.0219930663662478,-5.60869227247491,"SF",3060,282,5,3,"garrero01"
1926,"Ike Diogu",0.0219925898781159,-3.56869417904699,"PF",2795,225,6,6,"dioguik01"
1927,"Bo Ellis",0.021962126624713,-1.34061489845944,"PF",2178,183,3,1,"ellisbo02"
1928,"DeJuan Wheat",0.0219611561121928,0.303845517488662,"PG",743,81,2,2,"wheatde01"
1929,"Mickael Gelabale",0.0217574729647747,-1.97632595205599,"SF",2348,145,3,2,"gelabmi01"
1930,"Ian Clark",0.0216198211462768,-1.87922351537605,"SG",427,64,3,3,"clarkia01"
1931,"Lars Hansen",0.0212660200182173,0.408307584349772,"C",205,15,1,1,"hansela01"
1932,"Dion Glover",0.021257945025176,-2.53458954386915,"SG",6132,294,6,3,"glovedi01"
1933,"George Zidek",0.0209732102950021,-6.78047721849505,"C",1328,135,3,3,"zidekge01"
1934,"Brad Sellers",0.02096046411596,-3.13295768829052,"PF",7556,426,6,4,"sellebr01"
1935,"Mark Alarie",0.0209345519068544,-1.38197282234753,"PF",5545,329,5,2,"alarima01"
1936,"Don Ford",0.0204177560523532,-3.09342897688854,"PF",9782,494,7,2,"forddo01"
1937,"Trey Gilder",0.0200731358319299,8.90078626344761,"SF",5,2,1,1,"gildetr01"
1938,"Rondae Hollis-Jefferson",0.0200049331552575,0.263342531435096,"SF",299,14,1,1,"holliro01"
1939,"Malcolm Thomas",0.0198456686922594,-5.67476027440299,"PF",335,43,4,5,"thomama01"
1940,"Andrew Anderson",0.0198230307993965,-1.566139021704,"SG",5337,222,3,3,"anderan01"
1941,"John Lambert",0.0198159469154489,-2.23927153438643,"PF",5814,474,7,3,"lambejo01"
1942,"Stojko Vrankovic",0.0197856829306049,-6.5866384592326,"C",2063,173,5,3,"vrankst01"
1943,"Shavlik Randolph",0.019751912515591,-3.7461100740786,"PF",1209,149,8,5,"randosh01"
1944,"Steven Hill",0.0197119586210395,20.3965672831029,"PF",2,1,1,1,"hillst01"
1945,"Marcus Williams",0.019299315835573,-3.38942619787056,"PF",39,13,2,2,"willima04"
1946,"Wesley Johnson",0.0190419166409272,-2.19152409248944,"SF",9161,362,6,4,"johnswe01"
1947,"Dennis Van Zant",0.0190243682035324,19.7199783122758,"PF",2,1,1,1,"vanzade01"
1948,"Sean Marks",0.0190093057012517,-4.51195339969403,"C",2358,236,11,6,"marksse01"
1949,"Armond Hill",0.0189987634056609,-3.29161259913332,"PG",12222,484,8,4,"hillar01"
1950,"Chris Jefferies",0.0189104991901109,-2.06726353889369,"SF",861,72,2,2,"jeffech01"
1951,"Chris Corchiani",0.0187011810973097,-0.689332284203982,"PG",1313,112,3,3,"corchch01"
1952,"Cuonzo Martin",0.0185704312860169,-12.9627259200467,"SG",32,7,2,2,"marticu01"
1953,"Bob Greacen",0.0185050111362595,-7.07070616760103,"SF",379,55,3,2,"greacbo01"
1954,"Moe Radovich",0.0183417204070658,2.09383350791229,"PG",33,4,1,1,"radovmo01"
1955,"Kenny Dennard",0.0182606725090118,-1.51092838873593,"PF",1244,95,3,2,"dennake01"
1956,"Wayne Molis",0.0179438868759577,-5.91015183354719,"C",620,60,2,3,"moliswa01"
1957,"John Rudometkin",0.0177054180567029,-4.48539733536076,"SF",1644,131,3,2,"rudomjo01"
1958,"Dick Grubar",0.0175937731648164,5.32806819854483,"G",8,2,1,1,"grubadi01"
1959,"Tony Bennett",0.0175928827266094,-3.08162601294339,"PG",1972,160,3,1,"benneto01"
