"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
375,"Jay Humphries",3.19723334435924,349,2.78561739763321,475,0.41161594672603,-0.440805926419982,1.16226385112562,"PG",29.1507840772014,24166,829,11,1985,1995,"MIL",4,"humphja01"
376,"Vinnie Johnson",3.18787681394163,398,2.11858766245516,297,1.06928915148647,-0.392173046159932,0.906672583116956,"SG",24.5263636363636,26979,1100,13,1980,1992,"DET",3,"johnsvi01"
377,"Derek Anderson",3.13541699600532,327,3.08398061384744,883,0.0514363821578772,-0.0813688440729888,1.85758968523028,"SG",28.8513302034429,18436,639,11,1998,2008,"POR",7,"anderde01"
378,"Mike Gminski",3.13356263583593,366,2.60517625215138,424,0.528386383684548,-0.426664840805297,1.52610220013422,"C",25.6680369989723,24975,973,14,1981,1994,"NJN",4,"gminsmi01"
379,"Clark Kellogg",3.12773549231091,324,3.12773549231091,2593,0,1.43164243381251,1.20925080620665,"PF",32.7461538461538,8514,260,5,1983,1987,"IND",1,"kellocl01"
380,"Charles Smith",3.10111154257096,326,3.10111154257096,2593,0,-0.118233276534857,1.44964355846176,"SF",28.5619047619048,17994,630,9,1989,1997,"NYK",3,"smithch01"
381,"Chandler Parsons",3.07818408888301,332,3.03426942921322,905,0.0439146596697908,1.09301137025275,1.14116360172236,"SF",33.887417218543,10234,302,5,2012,2016,"HOU",2,"parsoch01"
382,"Troy Murphy",3.07788534472237,329,3.07669656572549,1174,0.00118877899687923,-0.407093249266725,1.55421478810748,"PF",27.1648501362398,19939,734,12,2002,2013,"GSW",6,"murphtr01"
383,"Kenyon Martin",3.07682176907962,539,0.955811692856164,197,2.12101007622346,-0.287456066295998,1.23616444368702,"PF",30.7514384349827,26723,869,15,2001,2015,"DEN",5,"martike01"
384,"Earl Monroe",3.06104225208977,429,1.745058144719,253,1.31598410737076,-0.634485861724949,0.919126714029389,"SG",32.094246031746,32351,1008,13,1968,1980,"NYK",2,"monroea01"
