"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1626,"Sam Williams",0.0681212834447713,1299,0.0681212834447713,2764,0,-0.827755616780667,0.0681212834447713,"PF",17.3270676691729,4609,266,4,1982,1985,"PHI",2,"willisa02"
1627,"Marreese Speights",0.0675357624737426,2775,0,1316,0.0675357624737426,-2.04678944450383,0.0368494119299219,"C",15.2833333333333,8253,540,8,2009,2016,"GSW",4,"speigma01"
1628,"Willie Porter",0.0667215590874577,1300,0.0667215590874577,2764,0,-1.12297586108383,0.0473009218593032,"PF",19.3855421686747,1609,83,2,1968,1969,"PTP",4,"portewi01"
1629,"Chucky Atkins",0.0660189592597714,1301,0.0660189592597714,2764,0,-1.39009690094214,0.0660189592597714,"PG",24.7937158469945,18149,732,11,2000,2010,"DET",8,"atkinch01"
1630,"Carl Henry",0.0656364260456844,2775,0,1317,0.0656364260456844,-4.80251374518953,0.0656364260456844,"SG",5.20689655172414,151,29,1,1986,1986,"SAC",1,"henryca01"
1631,"Brian Quinnett",0.0655403961982875,2775,0,1318,0.0655403961982875,-3.97479309318697,0.0655403961982875,"SG",10.9861111111111,1582,144,3,1990,1992,"NYK",2,"quinnbr01"
1632,"Doug Lee",0.065451316282534,1303,0.065451316282534,2764,0,-3.11502246303606,0.065451316282534,"SG",5.61333333333333,421,75,3,1992,1995,"NJN",2,"leedo01"
1633,"Bernard James",0.065103770191798,1361,0.040023295836552,1428,0.0250804743552459,-1.23297646085395,0.040023295836552,"C",8.11578947368421,771,95,3,2013,2015,"DAL",1,"jamesbe01"
1634,"Tyronn Lue",0.0649276206074834,2775,0,1320,0.0649276206074834,-2.02996614557784,0.0639137655189414,"PG",22.1460869565217,12734,575,11,1999,2009,"LAL",7,"luety01"
1635,"Rick Weitzman",0.0649021283220305,2775,0,1321,0.0649021283220305,-11.6685479119742,0.0649021283220305,"SG",2.85714285714286,80,28,1,1968,1968,"BOS",1,"weitzri01"
