"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
37,"Manu Ginobili",63.6538070804522,4.59552579976374,6.54415480074706,"SG",27.15065913371,28834,1062,14,2003,2016,1,"ginobma01"
38,"Moses Malone",62.3335339126002,2.72172465987831,6.95574798489948,"C",34.3890675241158,53475,1555,21,1975,1995,9,"malonmo01"
39,"John Havlicek",62.1735944968387,2.40499390906649,6.17678505025102,"SF",36.9840499306519,53331,1442,16,1963,1978,1,"havlijo01"
40,"Chauncey Billups",61.316510667234,3.12675621894202,6.79638197889276,"PG",32.2363330529857,38329,1189,17,1998,2014,7,"billuch01"
41,"Pau Gasol",61.0903493848905,3.5340467087001,6.97688563350302,"C",35.7045045045045,39632,1110,15,2002,2016,3,"gasolpa01"
42,"Kevin Durant",60.2382022869967,4.86109034112273,11.8984432216225,"SF",38.4584615384615,24998,650,9,2008,2016,2,"duranke01"
43,"Wes Unseld",60.1199984086094,3.3288230366708,5.50174780752127,"C",36.9184043517679,40721,1103,13,1969,1981,3,"unselwe01"
44,"Bob Lanier",58.6178557940746,3.89934849739265,9.38400622914999,"C",33.5906432748538,34464,1026,14,1971,1984,2,"laniebo01"
45,"Zelmo Beaty",57.4431816869247,3.35773505218541,8.96144334740816,"C",33.8854581673307,34021,1004,12,1963,1975,4,"beatyze01"
46,"Adrian Dantley",55.8060280820739,3.61195157962963,6.47100684522877,"SF",35.6673151750973,36666,1028,15,1977,1991,7,"dantlad01"
47,"Horace Grant",55.7828571617029,2.66394958566168,8.01799258134069,"PF",33.552808988764,44793,1335,17,1988,2004,4,"grantho01"
48,"Paul Arizin",54.9157181541422,4.22845905145123,9.85788799701429,"SF",38.4345323741007,26712,695,9,1952,1962,1,"arizipa01"
49,"Walt Bellamy",54.334341471152,3.23932922884149,9.08135582010791,"C",37.5381083562902,40879,1089,14,1962,1975,7,"bellawa01"
50,"Neil Johnston",54.1975400066014,6.1548696692495,11.6451789028798,"C",35.2504638218924,19000,539,8,1952,1959,1,"johnsne01"
51,"Tracy McGrady",53.6544600112402,3.64171918712693,11.0981202232505,"SG",32.7753036437247,32382,988,16,1998,2013,7,"mcgratr01"
52,"Ben Wallace",52.4859265353881,3.10861368525857,5.97741136061993,"C",30.0566502463054,36609,1218,16,1997,2012,6,"wallabe01"
53,"Shawn Marion",52.443284545992,2.86102897046702,7.23974756201765,"SF",34.5393081761006,43934,1272,16,2000,2015,5,"mariosh01"
54,"Kevin McHale",52.0473175863053,3.07068299198444,7.17673142492652,"PF",31.4333333333333,35834,1140,13,1981,1993,1,"mchalke01"
55,"Larry Nance",51.6831347752192,3.72687872390794,6.1190435955939,"PF",33.5273279352227,33125,988,13,1982,1994,2,"nancela01"
56,"Bobby Jones",50.8897261210595,3.71964367814932,6.24552848999472,"PF",27.489010989011,30018,1092,12,1975,1986,3,"jonesbo01"
57,"Patrick Ewing",50.0854709293507,2.33467879277533,6.05051327076374,"C",34.6452344931921,45801,1322,17,1986,2002,3,"ewingpa01"
58,"Jeff Hornacek",49.7247793500505,2.83369722138141,5.54079555862673,"SG",31.8241577649959,38730,1217,14,1987,2000,3,"hornaje01"
59,"Bailey Howell",49.474176193039,3.37573460791603,6.92086360674129,"PF",32.1901544401544,33349,1036,12,1960,1971,4,"howelba01"
60,"Sam Jones",48.6199747224852,3.24251267986823,5.78335388459612,"SG",28.2331707317073,28939,1025,12,1958,1969,1,"jonessa01"
61,"Vince Carter",47.2761148135942,2.68589685838778,7.68504131318458,"SG",33.3057915057915,43131,1295,18,1999,2016,6,"cartevi01"
62,"Chet Walker",46.1543850869328,2.84772988660905,7.42021479845421,"SF",32.6481970096746,37121,1137,13,1963,1975,3,"walkech01"
63,"Dwight Howard",45.9553699101964,3.32388717620885,6.49847264230773,"C",35.7827050997783,32276,902,12,2005,2016,3,"howardw01"
64,"Cliff Hagan",44.6317811110208,2.98524973637536,6.38393733869026,"SF",29.0728051391863,27154,934,13,1957,1970,2,"hagancl01"
65,"Elton Brand",44.1317789722898,2.9371338795322,8.00500437933486,"PF",33.1433857539315,35828,1081,16,2000,2015,5,"brandel01"
66,"Jimmy Jones",43.7690192940438,3.29131640446666,9.0288961324018,"PG",34.4348387096774,26687,775,10,1968,1977,4,"jonesji01"
67,"George Mikan",43.265943124322,6.45263251567371,9.83578153863175,"C",34.6830985915493,9850,284,4,1952,1956,1,"mikange01"
68,"Roger Brown",43.263722741912,2.99411032886708,6.89311147382248,"SF",35.641958041958,25484,715,8,1968,1975,3,"brownro01"
69,"Allen Iverson",43.0010765957717,2.56206414992912,5.70422654476934,"SG",41.4081218274112,40787,985,14,1997,2010,4,"iversal01"
70,"Chris Webber",42.9051845114981,2.97312830620222,5.74766369692223,"PF",37.0439077936334,33747,911,15,1994,2008,6,"webbech01"
71,"Bill Sharman",42.7625911570711,3.46732710304805,4.52425312383596,"SG",32.1451187335092,24366,758,10,1952,1961,1,"sharmbi01"
72,"Eddie Jones",42.6240261936128,2.9765596278145,5.03672191514843,"SG",34.3410628019324,35543,1035,14,1995,2008,5,"jonesed02"
73,"George McGinnis",42.1679383421276,2.57718255964519,7.5633921721812,"PF",33.7145877378436,31894,946,11,1972,1982,4,"mcginge01"
74,"Dave Cowens",41.9718088764681,2.91661068173505,5.1916737901197,"C",38.9859649122807,33333,855,11,1971,1983,2,"cowenda01"
75,"Isiah Thomas",41.6357014770198,2.0607160906205,5.44955257260859,"PG",36.451376146789,39732,1090,13,1982,1994,1,"thomais01"
