"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
489,"Cliff Levingston",6.25498264010782,428,5.0778279853149,637,1.17715465479292,0.784178759674387,1.48257361148562,"PF",19.7467105263158,18009,912,11,1983,1995,"ATL",4,"levincl01"
490,"Jared Dudley",6.23269928725506,492,3.92212350072296,461,2.3105757865321,0.850269175134666,2.05317248380294,"SF",23.7488151658768,15033,633,9,2008,2016,"PHO",5,"dudleja01"
491,"Xavier McDaniel",6.22107332931175,500,3.78294374115704,446,2.43812958815471,0.0170535290575053,1.36485943005793,"SF",29.2442996742671,26934,921,12,1986,1998,"SEA",5,"mcdanxa01"
492,"Damon Stoudamire",6.15265175312242,445,4.74561435916751,584,1.40703739395491,0.204787258602945,1.22595292015971,"PG",32.8700322234157,30602,931,13,1996,2008,"POR",4,"stoudda01"
493,"Nick Collison",6.10127126600548,644,2.21240580313462,335,3.88886546287086,0.413891763083674,1.85892187388943,"C",21.2398239823982,19307,909,12,2005,2016,"OKC",2,"collini01"
494,"Gene Banks",6.07693399334346,432,5.04366304027816,675,1.0332709530653,1.2624419496717,2.22954918426147,"SF",27.830303030303,13776,495,6,1982,1987,"SAS",2,"banksge01"
495,"Cedric Ceballos",6.03660359697243,456,4.51123370493468,565,1.52536989203775,0.329359526496999,2.39853259058193,"SF",23.8398203592814,15925,668,11,1991,2001,"PHO",5,"cebalce01"
496,"Ralph Sampson",6.00761693934411,666,2.03323695486499,327,3.97437998447912,-0.0844232528315232,3.77742463172782,"C",30.1578947368421,14898,494,9,1984,1992,"HOU",4,"sampsra01"
497,"Billy Kenville",6.00420047112379,945,0.61527725945018,260,5.38892321167361,-0.720839231577286,4.30498837417792,"SG",19.5310880829016,7539,386,6,1954,1960,"SYR",3,"kenvibi01"
498,"Charlie Scott",5.97796934417756,433,5.02112386500064,691,0.956845479176927,-0.0328582976117922,1.33663942057074,"SG",35.7020997375328,27205,762,10,1971,1980,"BOS",5,"scottch01"
499,"Tom Burleson",5.96280886542523,637,2.26857995665509,344,3.69422890877015,0.496238393023992,2.65176773839537,"C",21.6854663774403,9997,461,7,1975,1981,"SEA",3,"burleto01"
500,"Rudy Gay",5.95916716311047,395,5.86435735013991,1255,0.0948098129705565,0.419369936222687,1.88371836402354,"SF",35.8348214285714,24081,672,10,2007,2016,"MEM",3,"gayru01"
501,"Kendall Gill",5.91645478862588,407,5.67158891444169,1046,0.244865874184194,-0.110437319750096,2.69134563969953,"SG",30.4904330312185,30277,993,15,1991,2005,"NJN",7,"gillke01"
502,"Jim Brewer",5.91238905404605,551,3.08197192362409,402,2.83041713042196,0.121375062783501,1.97218717698921,"PF",22.7220708446866,16678,734,9,1974,1982,"CLE",4,"breweji01"
503,"Aaron McKie",5.90657901601837,542,3.13239658206277,411,2.7741824339556,0.295347278206599,1.56466693728242,"SG",24.5334101382488,21295,868,13,1995,2007,"PHI",4,"mckieaa01"
504,"Steve Jones",5.88388692446427,532,3.30019573573452,431,2.58369118872975,-0.294606257699001,1.43376913931632,"SG",30.029689608637,22252,741,9,1968,1976,"CAR",8,"jonesst01"
505,"Marvin Webster",5.85373706315663,571,2.85240631847104,383,3.00133074468559,0.386881895865817,2.46570638575139,"C",21.9778761061947,14901,678,10,1976,1987,"NYK",5,"webstma01"
506,"Al Cervi",5.81211714858127,508,3.57008831585141,469,2.24202883272986,5.67083193558862,2.5790915024301,"PG",12.421568627451,1267,102,2,1952,1953,"SYR",1,"cervial01"
507,"Chuck Williams",5.8008699420697,544,3.13096942127783,422,2.66990052079187,-0.437757077138122,3.01166913860535,"PG",28.1881481481481,19027,675,8,1971,1978,"SDA",8,"willich02"
508,"Craig Ehlo",5.79815673461572,467,4.26618406993327,563,1.53197266468245,0.391373858600748,1.35441883601217,"SG",24.145416227608,22914,949,14,1984,1997,"CLE",4,"ehlocr01"
509,"Kevin Willis",5.78638815440948,454,4.52266421420203,615,1.26372394020746,-0.774307095003441,1.78996406264024,"PF",26.7667542706965,40739,1522,21,1985,2007,"ATL",8,"willike02"
510,"Julian Hammond",5.75493646264343,543,3.13164311552941,424,2.62329334711402,1.53883150881614,1.30754725490152,"SF",24.8668555240793,8778,353,5,1968,1972,"DNR",1,"hammoju01"
511,"Troy Murphy",5.72564607365178,404,5.72126614999348,1503,0.00437992365829653,0.364619881565222,2.50857569066878,"PF",27.1648501362398,19939,734,12,2002,2013,"GSW",6,"murphtr01"
512,"Stu Lantz",5.68306944249736,442,4.82864745560111,721,0.854421986896252,0.202566539427123,3.59211944455589,"SG",28.0392857142857,15702,560,8,1969,1976,"SDR",5,"lantzst01"
513,"Connie Simmons",5.6597994480498,834,0.980643300341426,282,4.67915614770837,-0.315355984072801,3.47707946258425,"C",23.4527027027027,6942,296,4,1952,1956,"NYK",2,"simmoco01"
514,"Dave Greenwood",5.65367047779412,491,3.92534059483953,530,1.72832988295459,0.153194740893535,1.53542821976273,"PF",28.2934911242604,23908,845,12,1980,1991,"CHI",4,"greenda01"
515,"Jon Barry",5.62767436723827,452,4.56347983910726,669,1.06419452813101,0.367615860123072,1.85397473365819,"SG",16.7701019252548,14808,883,14,1993,2006,"SAC",8,"barryjo01"
516,"Kurt Thomas",5.62080708204287,496,3.86156447825791,526,1.75924260378496,0.0877111017023696,1.68539866016536,"PF",24.0912106135987,29054,1206,18,1996,2013,"NYK",9,"thomaku01"
517,"George Lynch",5.60968071506133,534,3.26313597177382,459,2.34654474328752,-0.0174759828904404,1.2194011105931,"SF",22.9593301435407,19194,836,12,1994,2005,"PHI",5,"lynchge01"
518,"Campy Russell",5.55673226820737,471,4.22996027170534,598,1.32677199650204,0.594046888857335,1.34398851333578,"SF",29.6689419795222,17386,586,9,1975,1985,"CLE",2,"russeca02"
519,"Brendan Haywood",5.51635522109389,645,2.19909282811604,364,3.31726239297785,0.0560424076787125,1.43744676767304,"C",22.7816091954023,19820,870,13,2002,2015,"WAS",4,"haywobr01"
520,"Pep Saul",5.50156172012629,1310,0.0612895465249483,258,5.44027217360134,-0.479170129131498,3.82593008745698,"SG",23.7459016393443,5794,244,4,1952,1955,"MNL",2,"saulpe01"
521,"Norm Nixon",5.49266334185239,641,2.23315709804757,370,3.25950624380482,-0.374474611461031,2.11864522115058,"PG",35.7590799031477,29537,826,10,1978,1989,"LAL",3,"nixonno01"
522,"Rick Mahorn",5.44031907903167,589,2.70190865639081,415,2.73841042264086,-0.28893543197633,1.2481267374207,"PF",23.0645952575634,28208,1223,18,1981,1999,"DET",4,"mahorri01"
