Rank,player,Hall_Rating,Reg_Season_Rank,Reg_Season_Hall_Rating,Playoff_Rank,Playoff_Hall_Rating,Equiv_BPM,Best_Season,Position,MPG,Minutes,Games,Seasons,Rookie_Yr,Final_Yr,Primary_Team,Teams,player_id
79,Chris Webber,44.56055155,55,37.31343436,173,7.247117194,2.962009367,5.751353227,PF,37.04390779,33747,911,15,1994,2008,SAC,6,webbech01
80,Connie Hawkins,43.78627147,77,30.28151036,89,13.50476111,3.494249068,12.5012445,SF,36.46841294,23668,649,9,1968,1976,PHO,5,hawkico01
81,James Harden,43.71429867,81,29.18245091,79,14.53184776,4.726024392,10.09267293,SG,32.69516729,17590,538,7,2010,2016,HOU,2,hardeja01
82,Allen Iverson,43.69426299,68,34.29314504,134,9.401117957,2.451155199,5.549922673,SG,41.40812183,40787,985,14,1997,2010,PHI,4,iversal01
83,Robert Parish,43.35768976,71,32.25113456,116,11.10655521,1.892859651,4.458196537,C,28.90306407,51881,1795,21,1977,1997,BOS,4,parisro01
84,Sidney Moncrief,42.99718881,67,34.30128921,145,8.695899596,3.561791127,6.576744347,SG,30.66976744,26376,860,11,1980,1991,MIL,2,moncrsi01
85,Dikembe Mutombo,42.56614488,74,31.16851236,114,11.39763252,2.368736597,5.601358877,C,30.769468,39908,1297,18,1992,2009,HOU,6,mutomdi01
86,Kevin Johnson,42.36588325,87,28.08335989,80,14.28252335,2.885650881,5.914861301,PG,34.45238095,28940,840,12,1988,2000,PHO,2,johnske02
87,Stephen Curry,42.05173551,85,28.51819061,88,13.5335449,4.689737529,10.81584266,PG,35.46496815,16704,471,7,2010,2016,GSW,1,curryst01
88,Rasheed Wallace,41.89824884,102,24.84393223,66,17.05431661,2.136589747,4.536447633,PF,32.72239502,42081,1286,16,1996,2013,POR,6,wallara01
89,Vern Mikkelsen,41.86986704,101,25.02362681,67,16.84624023,3.139752379,8.841239118,PF,32.45655608,20545,633,8,1952,1959,MNL,1,mikkeve01
90,Steve Nash,41.72546101,84,28.71776202,94,13.00769899,2.099904564,4.841263943,PG,31.68137622,42358,1337,18,1997,2014,PHO,3,nashst01
91,Shawn Kemp,40.75990385,97,26.65811769,81,14.10178616,1.960414087,6.081925291,PF,28.29675154,32230,1139,14,1990,2003,SEA,4,kempsh01
92,Bob Dandridge,40.45379854,153,18.63670101,53,21.81709753,2.160512466,5.119449849,SF,35.62860192,33384,937,13,1970,1982,MIL,2,dandrbo01
93,Marques Johnson,40.24792679,75,30.65450467,130,9.593422118,3.326723867,5.775494182,SF,34.63892617,25806,745,11,1978,1990,MIL,3,johnsma01
94,Willis Reed,40.19883852,100,25.28984605,78,14.90899247,2.945911726,7.355809154,C,35.32142857,25714,728,10,1965,1974,NYK,1,reedwi01
95,Jerry Lucas,39.56600523,73,31.17386132,149,8.392143908,2.710894893,5.835827189,PF,38.29189789,34501,901,11,1964,1974,CIN,3,lucasje01
96,Elvin Hayes,39.46079323,115,22.7864297,69,16.67436353,1.532715529,6.143762747,PF,38.71336669,54160,1399,16,1969,1984,WSB,5,hayesel01
97,George Gervin,39.26316014,90,27.70919101,109,11.55396913,2.235511315,4.704635901,SG,33.90646853,38789,1144,14,1973,1986,SAS,4,gervige01
98,Vlade Divac,39.25440362,91,27.53148496,106,11.72291865,2.464789563,4.482371049,C,29.93306773,37566,1255,16,1990,2005,LAL,3,divacvl01
99,Russell Westbrook,39.03280277,93,27.2657338,105,11.76706896,3.690460628,8.243954301,PG,34.44102564,20148,585,8,2009,2016,OKC,1,westbru01
100,George Yardley,38.73027577,120,22.29930188,71,16.43097389,3.61720351,7.245478236,SF,33.76070039,17353,514,7,1954,1960,FTW,3,yardlge01
101,Grant Hill,38.37726273,60,35.87773052,387,2.499532208,2.468762262,9.327118229,SF,33.81032864,36008,1065,18,1995,2013,DET,4,hillgr01
102,Cedric Maxwell,38.17317216,119,22.30715339,72,15.86601878,2.74693283,5.904428622,SF,28.28175027,26500,937,11,1978,1988,BOS,3,maxwece01
103,Maurice Cheeks,38.11091154,129,21.61980431,70,16.49110723,2.084906873,3.562928128,PG,32.16612642,39693,1234,15,1979,1993,PHI,5,cheekma01
104,Dennis Rodman,38.02491856,98,26.50576632,110,11.51915225,2.584261905,6.01954085,PF,31.13703704,33628,1080,14,1987,2000,DET,5,rodmade01
105,Larry Foust,36.45850965,107,23.72564046,96,12.7328692,2.81178642,7.950622387,C,29.22880215,21717,743,11,1952,1962,FTW,3,foustla01
106,Jack Sikma,36.41948566,79,29.49699523,182,6.922490429,2.309113408,5.158604131,C,33.49958644,40501,1209,14,1978,1991,SEA,2,sikmaja01
107,Mel Daniels,36.34243776,168,17.41783267,59,18.92460509,2.327723289,4.620533002,C,35.25,26367,748,9,1968,1977,INA,4,danieme01
108,Andrei Kirilenko,36.2436805,69,33.19206142,341,3.05161908,3.524672133,7.72055246,SF,29.82042254,25407,852,13,2002,2015,UTA,3,kirilan01
109,Anfernee Hardaway,36.09332974,105,23.97546237,102,12.11786737,2.280711653,7.667095461,SG,34.31119792,26351,768,14,1994,2008,ORL,4,hardaan01
110,Dominique Wilkins,35.95576471,66,34.44288695,499,1.512877763,2.391748348,5.603949881,SF,35.65044248,40285,1130,15,1983,1999,ATL,5,wilkido01
