"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
84,"Connie Hawkins",44.6509522196357,3.60314149496354,11.6044817044539,"SF",36.4684129429892,23668,649,9,1968,1976,5,"hawkico01"
85,"Willis Reed",44.2782596807011,2.95298952529663,7.34738267540232,"C",35.3214285714286,25714,728,10,1965,1974,1,"reedwi01"
86,"Robert Parish",43.8502121958912,1.8912606208889,4.45625521461748,"C",28.9030640668524,51881,1795,21,1977,1997,4,"parisro01"
87,"Robert Horry",43.6699381542704,1.99446925611152,4.5659778497521,"PF",25.0866025166543,33892,1351,16,1993,2008,4,"horryro01"
88,"Dikembe Mutombo",42.2573272337641,2.37404057317336,4.31355982899387,"C",30.769468003084,39908,1297,18,1992,2009,6,"mutomdi01"
89,"Steve Nash",41.6712158016652,2.09868377273689,4.83800329576359,"PG",31.6813762154076,42358,1337,18,1997,2014,3,"nashst01"
90,"James Harden",41.6336145151995,4.7273268496287,10.0885652705448,"SG",32.6951672862454,17590,538,7,2010,2016,2,"hardeja01"
91,"James Worthy",41.5702883393169,1.94862082430601,5.05347842424395,"SF",33.0196445275959,35298,1069,12,1983,1994,1,"worthja01"
92,"Terry Porter",40.9996937211949,2.10592626741842,6.43864396978126,"PG",28.1065808297568,39293,1398,17,1986,2002,4,"portete01"
93,"Stephen Curry",40.4655972478304,4.69189959170129,10.1019090420999,"PG",35.4649681528662,16704,471,7,2010,2016,1,"curryst01"
94,"Vlade Divac",40.4547023002109,2.4632405064661,4.47935761471168,"C",29.9330677290837,37566,1255,16,1990,2005,3,"divacvl01"
95,"Rasheed Wallace",40.2634367455885,2.13554154996672,4.53270839756438,"PF",32.7223950233281,42081,1286,16,1996,2013,6,"wallara01"
96,"Shawn Kemp",39.7531471314027,1.95925562589763,6.07914265215865,"PF",28.2967515364355,32230,1139,14,1990,2003,4,"kempsh01"
97,"Maurice Cheeks",39.2144984254094,2.08638023576762,3.21365394367932,"PG",32.1661264181524,39693,1234,15,1979,1993,5,"cheekma01"
98,"Cedric Maxwell",38.879147790082,2.7452915102102,5.71187054913716,"SF",28.281750266809,26500,937,11,1978,1988,3,"maxwece01"
99,"Vern Mikkelsen",38.7456582551788,3.13596166482355,7.10991749524083,"PF",32.4565560821485,20545,633,8,1952,1959,1,"mikkeve01"
100,"Hal Greer",38.2073304413693,1.79488195155283,4.66076749824826,"SG",35.7742998352554,43430,1214,15,1959,1973,2,"greerha01"
101,"Bob Dandridge",38.1372324498994,2.16018671694055,4.44044424629687,"SF",35.6286019210245,33384,937,13,1970,1982,2,"dandrbo01"
102,"Anfernee Hardaway",37.5677345150925,2.2863167481145,7.66317324000166,"SG",34.3111979166667,26351,768,14,1994,2008,4,"hardaan01"
103,"Grant Hill",37.45541228332,2.47387862485952,9.32264394176903,"SF",33.8103286384977,36008,1065,18,1995,2013,4,"hillgr01"
104,"Hersey Hawkins",37.0594429066388,2.2787312180501,4.439625322964,"SG",32.6991485335856,34563,1057,13,1989,2001,4,"hawkihe01"
105,"Russell Westbrook",37.0015475124951,3.68845547124697,8.24128139347541,"PG",34.4410256410256,20148,585,8,2009,2016,1,"westbru01"
106,"Jack Sikma",36.937430939847,2.30720419983945,5.1547632833443,"C",33.4995864350703,40501,1209,14,1978,1991,2,"sikmaja01"
107,"Dominique Wilkins",36.8295928625702,2.3902585890601,5.6001606595964,"SF",35.6504424778761,40285,1130,15,1983,1999,5,"wilkido01"
108,"Bob McAdoo",36.7771725662394,2.13473942430927,8.50711191193703,"C",32.8128964059197,31041,946,14,1973,1986,7,"mcadobo01"
109,"Andrei Kirilenko",36.5682540718074,3.52305899876668,7.71695813076737,"SF",29.8204225352113,25407,852,13,2002,2015,3,"kirilan01"
110,"Dennis Rodman",36.3314366211637,2.58382072534092,6.03797576816141,"PF",31.137037037037,33628,1080,14,1987,2000,5,"rodmade01"
111,"Mel Daniels",36.2978189140337,2.32805866343378,4.45213825678852,"C",35.25,26367,748,9,1968,1977,4,"danieme01"
112,"Baron Davis",35.4696724231414,2.08828999968931,6.47131071322612,"PG",34.3988700564972,30443,885,13,2000,2012,6,"davisba01"
113,"Clyde Lovellette",34.912282180033,3.00937312721222,3.99921485985449,"C",26.8007761966365,20717,773,11,1954,1964,4,"lovelcl01"
114,"Gus Williams",34.5553903578326,1.89509365213251,4.71586805805606,"PG",31.2337662337662,28860,924,11,1976,1987,4,"willigu01"
115,"Frank Ramsey",34.5183886786565,2.06481806676592,6.78095676518335,"SG",24.5852981969487,17726,721,9,1955,1964,1,"ramsefr01"
116,"Bill Laimbeer",33.9272574112396,2.19428568916486,3.59506452907824,"C",31.9144792548688,37691,1181,14,1981,1994,2,"laimbbi01"
117,"Mookie Blaylock",33.6208388964745,2.06778876624863,7.68263309311535,"PG",35.1930010604454,33187,943,13,1990,2002,3,"blaylmo01"
